commit	run_dir	artifact_type	candidate_checkpoint	score	full_perplexity	quick_perplexity	projected_payload_mib	avg_bits_per_weight	size_ok	best_eval_loss	final_eval_loss	elapsed_sec	snap_ok	inference_ok	status	retention	change_family	description
3aa268a-dirty	runs/aq1_auto/qwen06b-init-ppl/baseline	init	runs/aq1_auto/qwen06b-init-ppl/baseline/v2_tightened.pt	32.86	32.86	27.55	248.52	4.7337	true			335.5	true	n/a	keep	keep	baseline	init_v2 q4a4 group_size=32 search_lut fp4_dense-all
3aa268a-dirty	runs/aq1_auto/qwen06b-init-ppl/exp_001	init	runs/aq1_auto/qwen06b-init-ppl/exp_001/v2_tightened.pt	29.72	29.72	25.39	248.52	4.7337	true			330.8	true	n/a	keep	keep	group_size	group_size=16 with search_lut
3aa268a-dirty	runs/aq1_auto/qwen06b-init-ppl/exp_002	init	runs/aq1_auto/qwen06b-init-ppl/exp_002/v2_tightened.pt	33.68		33.68	248.52	4.7337	true			352.2	skipped	n/a	discard	discard	group_size	group_size=64 screened out on quick PPL
3aa268a-dirty	runs/aq1_auto/qwen06b-init-ppl/exp_003	init	runs/aq1_auto/qwen06b-init-ppl/exp_003/v2_tightened.pt	30.26	30.26	25.77	248.52	4.7337	true			386.9	true	n/a	keep	keep	group_search	per-layer search over group_size=128,64,32,16
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_001_mix_attn_eff_b5_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_001_mix_attn_eff_b5_g16/v2_tightened.pt	28.15	28.15	23.7263	260.7703	4.9671	true			196.197	true	n/a	keep	keep	mixedbit	attention-only 5-bit upgrades ranked by local improvement per extra bit
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_002_mix_all_eff_b5_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_002_mix_all_eff_b5_g16/v2_tightened.pt	28.09	28.09	23.6675	260.8953	4.9694	true			194.5285	true	n/a	keep	keep	mixedbit	global 5-bit upgrades ranked by local improvement per extra bit
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_003_mix_mlp_eff_b5_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_003_mix_mlp_eff_b5_g16/v2_tightened.pt	28.75	28.75	24.3982	260.894	4.9694	true			194.347	true	n/a	discard	discard	mixedbit	MLP-only 5-bit upgrades ranked by local improvement per extra bit
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_004_mix_attn_abs_b5_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_004_mix_attn_abs_b5_g16/v2_tightened.pt	29.07	29.07	24.6269	260.8949	4.9694	true			194.6112	true	n/a	discard	discard	mixedbit	attention-only 5-bit upgrades ranked by absolute local MAE gain
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_005_mix_attn_eff_b6_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_005_mix_attn_eff_b6_g16/v2_tightened.pt	28.16	28.16	23.845	260.7724	4.9671	true			194.1265	true	n/a	discard	discard	mixedbit	attention-only 6-bit upgrades within the same global size budget
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_006_perm_combined_desc_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_006_perm_combined_desc_g16/v2_tightened.pt	495.5169		495.5169	248.5179	4.7337	true			193.1417	skipped	n/a	discard	discard	folded_permute	folded MLP channel permutation by combined norm, descending
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_007_perm_combined_hilo_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_007_perm_combined_hilo_g16/v2_tightened.pt	447.307		447.307	248.5179	4.7337	true			193.4441	skipped	n/a	discard	discard	folded_permute	folded MLP channel permutation by combined norm, hi/lo interleave
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_008_perm_down_desc_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_008_perm_down_desc_g16/v2_tightened.pt	6908.4625		6908.4625	248.5179	4.7337	true			192.967	skipped	n/a	discard	discard	folded_permute	folded MLP channel permutation using down_proj column norms, descending
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_009_perm_down_hilo_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_009_perm_down_hilo_g16/v2_tightened.pt	696.2386		696.2386	248.5179	4.7337	true			193.3258	skipped	n/a	discard	discard	folded_permute	folded MLP channel permutation using down_proj column norms, hi/lo interleave
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_010_mix_attn_eff_b5_g32	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_010_mix_attn_eff_b5_g32/v2_tightened.pt	30.12	30.12	25.8142	260.7703	4.9671	true			193.4206	true	n/a	discard	discard	mixedbit	attention-only 5-bit upgrades with group_size=32
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_011_perm_combined_desc_g32	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_011_perm_combined_desc_g32/v2_tightened.pt	343.4772		343.4772	248.5179	4.7337	true			192.029	skipped	n/a	discard	discard	folded_permute	folded MLP channel permutation by combined norm at group_size=32
2076eb4-dirty	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_012_mix_all_eff_b6_g16	init	/Users/anemll/SourceRelease/GITHUB/ML_playground/aq1/runs/aq1_auto/qwen06b-init-ppl/auto6h_20260310_run4/exp_012_mix_all_eff_b6_g16/v2_tightened.pt	28.16	28.16	23.845	260.7724	4.9671	true			192.9503	true	n/a	discard	discard	mixedbit	global 6-bit upgrades within the same global size budget
